Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Abs_Pressure,Temperature
87833639,-0.26149741716443575,0.06588197965047904,-9.820588128232567,-0.007877949268597261,0.025939574548073267,-1.7192935256447885,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87842926,-0.22572771616040743,0.11996081191919394,-9.817285554074852,-0.009776311569887296,0.027174990707107043,-1.9510578422036264,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87853120,-0.08396604068337954,0.19543762225530692,-9.808381096982567,-0.01349971314616789,0.026836305939622378,-2.215267827936659,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87863190,0.07288492687285864,0.163805735296231,-9.802947060727684,-0.017672902547794477,0.026207307436533427,-2.3784693984475234,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87872909,0.12293016009272062,0.05806363839529105,-9.805685059690086,-0.018705329501110212,0.025418022730417704,-2.3549434451546767,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87883146,0.21719237260759794,0.018748295492153844,-9.817407624387352,-0.017703958430367605,0.023289898493357157,-2.1135021953072646,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87892946,0.15020946099094523,-0.01432688076115074,-9.81315330850787,-0.01613517200079985,0.02040053110357254,-1.8559487918446635,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87903157,-0.06023146526285039,-0.03644634325123253,-9.80658535349078,-0.015446084565196708,0.01877496156629055,-1.6850880244801616,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87913164,-0.2170162083334528,-0.09375651095128479,-9.811754268285702,-0.015403906828437522,0.019399612655601195,-1.6346047977040385,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87922985,-0.25045465247102605,-0.129143355489437,-9.812266391393612,-0.017874374068055823,0.020368577426037482,-1.6435446599553203,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87933588,-0.2711481632418238,-0.13965085621989193,-9.814910930273006,-0.020590630373631194,0.0197101044261071,-1.69092391525012,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87942915,-0.2630349876112543,-0.13557399164951267,-9.816139262792538,-0.024067546254668906,0.020034396534523657,-1.8476248839924907,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87953121,-0.15360401884981023,-0.09002924997425499,-9.818156283971737,-0.02480909136560984,0.021711978574952773,-2.0430197576115705,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87963261,0.11171930527917517,0.0558690176525074,-9.813891452428768,-0.02374804673222132,0.02430631916757553,-2.251042590482054,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
87972909,0.4526590822511114,0.2713412986316639,-9.800528567907284,-0.022226619547877982,0.027135336285195044,-2.4482502797673322,164300.3125,136117.40625,317416.28125,1010.0589599609375,45.40203094482422
